"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 12:19:38 GMT 2022","Mon Apr 04 12:19:38 GMT 2022","530","webkit","login.spec.js","Login","","","Successful login",""
"passed","Mon Apr 04 12:19:39 GMT 2022","Mon Apr 04 12:19:39 GMT 2022","543","webkit","signUp.spec.js","Sign Up","","","Successful sign up",""
"passed","Mon Apr 04 12:19:36 GMT 2022","Mon Apr 04 12:19:37 GMT 2022","1541","webkit","item_actions.spec.js","Items","","","Commenting item",""
"passed","Mon Apr 04 12:19:15 GMT 2022","Mon Apr 04 12:19:17 GMT 2022","1281","","feed_actions.spec.js","Feeds","","","Updating feed",""
"passed","Mon Apr 04 12:19:38 GMT 2022","Mon Apr 04 12:19:39 GMT 2022","763","webkit","new_feed.spec.js","Feeds","","","Adding a new feed",""
"passed","Mon Apr 04 12:19:22 GMT 2022","Mon Apr 04 12:19:23 GMT 2022","435","","login.spec.js","Login","","","Successful login",""
"passed","Mon Apr 04 12:19:23 GMT 2022","Mon Apr 04 12:19:24 GMT 2022","433","","signUp.spec.js","Sign Up","","","Successful sign up",""
"passed","Mon Apr 04 12:19:34 GMT 2022","Mon Apr 04 12:19:36 GMT 2022","1437","webkit","item_actions.spec.js","Items","","","Opening item from the feed",""
"passed","Mon Apr 04 12:19:33 GMT 2022","Mon Apr 04 12:19:34 GMT 2022","1233","webkit","feed_actions.spec.js","Feeds","","","Saving feed to bookmarks",""
"passed","Mon Apr 04 12:19:42 GMT 2022","Mon Apr 04 12:19:47 GMT 2022","4158","firefox","feed_actions.spec.js","Feeds","","","Updating feed",""
"passed","Mon Apr 04 12:19:47 GMT 2022","Mon Apr 04 12:19:48 GMT 2022","1451","firefox","feed_actions.spec.js","Feeds","","","Saving feed to bookmarks",""
"passed","Mon Apr 04 12:19:50 GMT 2022","Mon Apr 04 12:19:54 GMT 2022","4043","firefox","item_actions.spec.js","Items","","","Commenting item",""
"passed","Mon Apr 04 12:19:27 GMT 2022","Mon Apr 04 12:19:33 GMT 2022","6569","webkit","feed_actions.spec.js","Feeds","","","Updating feed",""
"passed","Mon Apr 04 12:19:19 GMT 2022","Mon Apr 04 12:19:20 GMT 2022","1264","","item_actions.spec.js","Items","","","Opening item from the feed",""
"passed","Mon Apr 04 12:19:56 GMT 2022","Mon Apr 04 12:19:56 GMT 2022","863","firefox","signUp.spec.js","Sign Up","","","Successful sign up",""
"passed","Mon Apr 04 12:19:17 GMT 2022","Mon Apr 04 12:19:19 GMT 2022","2158","","feed_actions.spec.js","Feeds","","","Saving feed to bookmarks",""
"passed","Mon Apr 04 12:19:20 GMT 2022","Mon Apr 04 12:19:22 GMT 2022","1848","","item_actions.spec.js","Items","","","Commenting item",""
"passed","Mon Apr 04 12:19:54 GMT 2022","Mon Apr 04 12:19:56 GMT 2022","1248","firefox","new_feed.spec.js","Feeds","","","Adding a new feed",""
"passed","Mon Apr 04 12:19:54 GMT 2022","Mon Apr 04 12:19:54 GMT 2022","687","firefox","login.spec.js","Login","","","Successful login",""
"passed","Mon Apr 04 12:19:48 GMT 2022","Mon Apr 04 12:19:50 GMT 2022","1523","firefox","item_actions.spec.js","Items","","","Opening item from the feed",""
"passed","Mon Apr 04 12:19:23 GMT 2022","Mon Apr 04 12:19:23 GMT 2022","845","","new_feed.spec.js","Feeds","","","Adding a new feed",""
